timestamp,simple-path,time
2022-02-25 14:05:19.048,/master/welcome,5255
2022-02-25 14:05:19.417,/master/welcome,329
2022-02-25 14:05:20.336,http://www.example.com,606
2022-02-25 14:05:21.405,/master/welcome,343
2022-02-25 14:05:21.778,/master/welcome,296
2022-02-25 14:05:23.136,/anonymous/user-account/create,1147
2022-02-25 14:05:25.518,/master/welcome,268
2022-02-25 14:05:25.803,/master/welcome,254
2022-02-25 14:05:26.608,/anonymous/user-account/create,586
2022-02-25 14:05:29.016,/master/welcome,281
2022-02-25 14:05:29.32,/master/welcome,266
2022-02-25 14:05:30.183,/anonymous/user-account/create,603
2022-02-25 14:05:32.551,/master/welcome,265
2022-02-25 14:05:32.864,/master/welcome,267
2022-02-25 14:05:33.659,/anonymous/user-account/create,612
2022-02-25 14:05:35.996,/master/welcome,268
2022-02-25 14:05:36.293,/master/welcome,269
2022-02-25 14:05:37.034,/anonymous/user-account/create,613
2022-02-25 14:05:39.405,/master/welcome,264
2022-02-25 14:05:39.723,/master/welcome,284
2022-02-25 14:05:40.49,/anonymous/user-account/create,619
2022-02-25 14:05:42.855,/master/welcome,285
2022-02-25 14:05:43.17,/master/welcome,286
2022-02-25 14:05:43.927,/anonymous/user-account/create,627
2022-02-25 14:05:46.282,/master/welcome,285
2022-02-25 14:05:46.57,/master/welcome,255
2022-02-25 14:05:47.332,/anonymous/user-account/create,619
2022-02-25 14:05:49.693,/master/welcome,281
2022-02-25 14:05:49.955,/master/welcome,234
2022-02-25 14:05:50.718,/anonymous/user-account/create,601
2022-02-25 14:05:53.119,/master/welcome,330
2022-02-25 14:05:53.42,/master/welcome,261
2022-02-25 14:05:54.183,/anonymous/user-account/create,616
2022-02-25 14:05:56.598,/master/welcome,328
2022-02-25 14:05:56.911,/master/welcome,271
2022-02-25 14:05:57.665,/anonymous/user-account/create,615
2022-02-25 14:06:00.088,/master/welcome,324
2022-02-25 14:06:00.376,/master/welcome,253
2022-02-25 14:06:01.135,/anonymous/user-account/create,593
